city,province,year,month,avg_rent
Toronto,Ontario,2024,1,2450
Toronto,Ontario,2024,2,2420
Toronto,Ontario,2024,3,2480
Toronto,Ontario,2024,4,2550
Toronto,Ontario,2024,5,2620
Toronto,Ontario,2024,6,2700
Toronto,Ontario,2024,7,2780
Toronto,Ontario,2024,8,2750
Toronto,Ontario,2024,9,2680
Toronto,Ontario,2024,10,2600
Toronto,Ontario,2024,11,2550
Toronto,Ontario,2024,12,2500

Mississauga,Ontario,2024,1,2200
Mississauga,Ontario,2024,2,2225
Mississauga,Ontario,2024,3,2250
Mississauga,Ontario,2024,4,2275
Mississauga,Ontario,2024,5,2300
Mississauga,Ontario,2024,6,2325
Mississauga,Ontario,2024,7,2350
Mississauga,Ontario,2024,8,2375
Mississauga,Ontario,2024,9,2400
Mississauga,Ontario,2024,10,2425
Mississauga,Ontario,2024,11,2450
Mississauga,Ontario,2024,12,2475

Hamilton,Ontario,2024,1,1850
Hamilton,Ontario,2024,2,1875
Hamilton,Ontario,2024,3,1900
Hamilton,Ontario,2024,4,1925
Hamilton,Ontario,2024,5,1950
Hamilton,Ontario,2024,6,1975
Hamilton,Ontario,2024,7,2000
Hamilton,Ontario,2024,8,2025
Hamilton,Ontario,2024,9,2050
Hamilton,Ontario,2024,10,2075
Hamilton,Ontario,2024,11,2100
Hamilton,Ontario,2024,12,2125

Ottawa,Ontario,2024,1,2100
Ottawa,Ontario,2024,2,2120
Ottawa,Ontario,2024,3,2150
Ottawa,Ontario,2024,4,2175
Ottawa,Ontario,2024,5,2200
Ottawa,Ontario,2024,6,2225
Ottawa,Ontario,2024,7,2250
Ottawa,Ontario,2024,8,2275
Ottawa,Ontario,2024,9,2300
Ottawa,Ontario,2024,10,2325
Ottawa,Ontario,2024,11,2350
Ottawa,Ontario,2024,12,2375

Brampton,Ontario,2024,1,2000
Brampton,Ontario,2024,2,2020
Brampton,Ontario,2024,3,2050
Brampton,Ontario,2024,4,2075
Brampton,Ontario,2024,5,2100
Brampton,Ontario,2024,6,2125
Brampton,Ontario,2024,7,2150
Brampton,Ontario,2024,8,2175
Brampton,Ontario,2024,9,2200
Brampton,Ontario,2024,10,2225
Brampton,Ontario,2024,11,2250
Brampton,Ontario,2024,12,2275

London,Ontario,2024,1,1750
London,Ontario,2024,2,1775
London,Ontario,2024,3,1800
London,Ontario,2024,4,1825
London,Ontario,2024,5,1850
London,Ontario,2024,6,1875
London,Ontario,2024,7,1900
London,Ontario,2024,8,1925
London,Ontario,2024,9,1950
London,Ontario,2024,10,1975
London,Ontario,2024,11,2000
London,Ontario,2024,12,2025

Kitchener,Ontario,2024,1,1800
Kitchener,Ontario,2024,2,1825
Kitchener,Ontario,2024,3,1850
Kitchener,Ontario,2024,4,1875
Kitchener,Ontario,2024,5,1900
Kitchener,Ontario,2024,6,1925
Kitchener,Ontario,2024,7,1950
Kitchener,Ontario,2024,8,1975
Kitchener,Ontario,2024,9,2000
Kitchener,Ontario,2024,10,2025
Kitchener,Ontario,2024,11,2050
Kitchener,Ontario,2024,12,2075